S,I,R,tempo
0.16,0.84,69.01,461.2
0.16,0.84,69.01,461.3
0.16,0.84,69.01,461.4
0.16,0.84,69.01,461.5
0.16,0.83,69.01,461.6
0.16,0.83,69.01,461.7
0.16,0.83,69.01,461.8
0.16,0.83,69.01,461.9
0.16,0.83,69.01,462.0
0.16,0.83,69.01,462.1
0.16,0.83,69.02,462.2
0.16,0.83,69.02,462.3
0.16,0.83,69.02,462.4
0.16,0.83,69.02,462.5
0.16,0.83,69.02,462.6
0.16,0.82,69.02,462.7
0.16,0.82,69.02,462.8
0.16,0.82,69.02,462.9
0.16,0.82,69.02,463.0
0.16,0.82,69.02,463.1
0.16,0.82,69.02,463.2
0.16,0.82,69.03,463.3
0.16,0.82,69.03,463.4
0.16,0.82,69.03,463.5
0.16,0.82,69.03,463.6
0.16,0.82,69.03,463.7
0.16,0.81,69.03,463.8
0.16,0.81,69.03,463.9
0.16,0.81,69.03,464.0
0.16,0.81,69.03,464.1
0.16,0.81,69.03,464.2
0.16,0.81,69.03,464.3
0.16,0.81,69.04,464.4
0.16,0.81,69.04,464.5
0.16,0.81,69.04,464.6
0.16,0.81,69.04,464.7
0.16,0.81,69.04,464.8
0.16,0.80,69.04,464.9
0.16,0.80,69.04,465.0
0.16,0.80,69.04,465.1
0.16,0.80,69.04,465.2
0.16,0.80,69.04,465.3
0.16,0.80,69.05,465.4
0.16,0.80,69.05,465.5
0.16,0.80,69.05,465.6
0.16,0.80,69.05,465.7
0.16,0.80,69.05,465.8
0.16,0.80,69.05,465.9
0.15,0.79,69.05,466.0
0.15,0.79,69.05,466.1
0.15,0.79,69.05,466.2
0.15,0.79,69.05,466.3
0.15,0.79,69.05,466.4
0.15,0.79,69.05,466.5
0.15,0.79,69.06,466.6
0.15,0.79,69.06,466.7
0.15,0.79,69.06,466.8
0.15,0.79,69.06,466.9
0.15,0.79,69.06,467.0
0.15,0.78,69.06,467.1
0.15,0.78,69.06,467.2
0.15,0.78,69.06,467.3
0.15,0.78,69.06,467.4
0.15,0.78,69.06,467.5
0.15,0.78,69.06,467.6
0.15,0.78,69.07,467.7
0.15,0.78,69.07,467.8
0.15,0.78,69.07,467.9
0.15,0.78,69.07,468.0
0.15,0.78,69.07,468.1
0.15,0.78,69.07,468.2
0.15,0.77,69.07,468.3
0.15,0.77,69.07,468.4
0.15,0.77,69.07,468.5
0.15,0.77,69.07,468.6
0.15,0.77,69.07,468.7
0.15,0.77,69.08,468.8
0.15,0.77,69.08,468.9
0.15,0.77,69.08,469.0
0.15,0.77,69.08,469.1
0.15,0.77,69.08,469.2
0.15,0.77,69.08,469.3
0.15,0.76,69.08,469.4
0.15,0.76,69.08,469.5
0.15,0.76,69.08,469.6
0.15,0.76,69.08,469.7
0.15,0.76,69.08,469.8
0.15,0.76,69.08,469.9
0.15,0.76,69.09,470.0
0.15,0.76,69.09,470.1
0.15,0.76,69.09,470.2
0.15,0.76,69.09,470.3
0.15,0.76,69.09,470.4
0.15,0.76,69.09,470.5
0.15,0.75,69.09,470.6
0.15,0.75,69.09,470.7
0.15,0.75,69.09,470.8
0.15,0.75,69.09,470.9
0.15,0.75,69.09,471.0
0.15,0.75,69.10,471.1
0.15,0.75,69.10,471.2
0.15,0.75,69.10,471.3
0.15,0.75,69.10,471.4
0.15,0.75,69.10,471.5
0.15,0.75,69.10,471.6
0.15,0.75,69.10,471.7
0.15,0.74,69.10,471.8
0.15,0.74,69.10,471.9
0.15,0.74,69.10,472.0
0.15,0.74,69.10,472.1
0.15,0.74,69.10,472.2
0.15,0.74,69.11,472.3
0.15,0.74,69.11,472.4
0.15,0.74,69.11,472.5
0.15,0.74,69.11,472.6
0.15,0.74,69.11,472.7
0.15,0.74,69.11,472.8
0.15,0.74,69.11,472.9
0.15,0.73,69.11,473.0
0.15,0.73,69.11,473.1
0.15,0.73,69.11,473.2
0.15,0.73,69.11,473.3
0.15,0.73,69.11,473.4
0.15,0.73,69.12,473.5
0.15,0.73,69.12,473.6
0.15,0.73,69.12,473.7
0.15,0.73,69.12,473.8
0.15,0.73,69.12,473.9
0.15,0.73,69.12,474.0
0.15,0.73,69.12,474.1
0.15,0.72,69.12,474.2
0.15,0.72,69.12,474.3
0.15,0.72,69.12,474.4
0.15,0.72,69.12,474.5
0.15,0.72,69.12,474.6
0.15,0.72,69.13,474.7
0.15,0.72,69.13,474.8
0.15,0.72,69.13,474.9
0.15,0.72,69.13,475.0
0.15,0.72,69.13,475.1
0.15,0.72,69.13,475.2
0.15,0.72,69.13,475.3
0.15,0.72,69.13,475.4
0.15,0.71,69.13,475.5
0.15,0.71,69.13,475.6
0.15,0.71,69.13,475.7
0.15,0.71,69.13,475.8
0.15,0.71,69.14,475.9
0.15,0.71,69.14,476.0
0.15,0.71,69.14,476.1
0.15,0.71,69.14,476.2
0.15,0.71,69.14,476.3
0.15,0.71,69.14,476.4
0.15,0.71,69.14,476.5
0.15,0.71,69.14,476.6
0.15,0.70,69.14,476.7
0.15,0.70,69.14,476.8
0.15,0.70,69.14,476.9
0.15,0.70,69.14,477.0
0.15,0.70,69.14,477.1
0.15,0.70,69.15,477.2
0.15,0.70,69.15,477.3
0.15,0.70,69.15,477.4
0.15,0.70,69.15,477.5
0.15,0.70,69.15,477.6
0.15,0.70,69.15,477.7
0.15,0.70,69.15,477.8
0.15,0.70,69.15,477.9
0.15,0.69,69.15,478.0
0.15,0.69,69.15,478.1
0.15,0.69,69.15,478.2
0.15,0.69,69.15,478.3
0.15,0.69,69.16,478.4
0.15,0.69,69.16,478.5
0.15,0.69,69.16,478.6
0.15,0.69,69.16,478.7
0.15,0.69,69.16,478.8
0.15,0.69,69.16,478.9
0.15,0.69,69.16,479.0
0.15,0.69,69.16,479.1
0.15,0.69,69.16,479.2
0.15,0.68,69.16,479.3
0.15,0.68,69.16,479.4
0.15,0.68,69.16,479.5
0.15,0.68,69.16,479.6
0.15,0.68,69.17,479.7
0.15,0.68,69.17,479.8
0.15,0.68,69.17,479.9
0.15,0.68,69.17,480.0
0.15,0.68,69.17,480.1
0.15,0.68,69.17,480.2
0.15,0.68,69.17,480.3
0.15,0.68,69.17,480.4
0.15,0.68,69.17,480.5
0.15,0.67,69.17,480.6
0.15,0.67,69.17,480.7
0.15,0.67,69.17,480.8
0.15,0.67,69.17,480.9
0.15,0.67,69.18,481.0
0.15,0.67,69.18,481.1
0.15,0.67,69.18,481.2
0.15,0.67,69.18,481.3
0.15,0.67,69.18,481.4
0.15,0.67,69.18,481.5
0.15,0.67,69.18,481.6
0.15,0.67,69.18,481.7
0.15,0.67,69.18,481.8
0.15,0.66,69.18,481.9
0.15,0.66,69.18,482.0
0.15,0.66,69.18,482.1
0.15,0.66,69.18,482.2
0.15,0.66,69.19,482.3
0.15,0.66,69.19,482.4
0.15,0.66,69.19,482.5
0.15,0.66,69.19,482.6
0.15,0.66,69.19,482.7
0.15,0.66,69.19,482.8
0.15,0.66,69.19,482.9
0.15,0.66,69.19,483.0
0.15,0.66,69.19,483.1
0.15,0.66,69.19,483.2
0.15,0.65,69.19,483.3
0.15,0.65,69.19,483.4
0.15,0.65,69.19,483.5
0.15,0.65,69.19,483.6
0.15,0.65,69.20,483.7
0.15,0.65,69.20,483.8
0.15,0.65,69.20,483.9
0.15,0.65,69.20,484.0
0.15,0.65,69.20,484.1
0.15,0.65,69.20,484.2
0.15,0.65,69.20,484.3
0.15,0.65,69.20,484.4
0.15,0.65,69.20,484.5
0.15,0.64,69.20,484.6
0.15,0.64,69.20,484.7
0.15,0.64,69.20,484.8
0.15,0.64,69.20,484.9
0.15,0.64,69.21,485.0
0.15,0.64,69.21,485.1
0.15,0.64,69.21,485.2
0.15,0.64,69.21,485.3
0.15,0.64,69.21,485.4
0.15,0.64,69.21,485.5
0.15,0.64,69.21,485.6
0.15,0.64,69.21,485.7
0.15,0.64,69.21,485.8
0.15,0.64,69.21,485.9
0.15,0.63,69.21,486.0
0.15,0.63,69.21,486.1
0.15,0.63,69.21,486.2
0.15,0.63,69.21,486.3
0.15,0.63,69.22,486.4
0.15,0.63,69.22,486.5
0.15,0.63,69.22,486.6
0.15,0.63,69.22,486.7
0.15,0.63,69.22,486.8
0.15,0.63,69.22,486.9
0.15,0.63,69.22,487.0
0.15,0.63,69.22,487.1
0.15,0.63,69.22,487.2
0.15,0.63,69.22,487.3
0.15,0.62,69.22,487.4
0.15,0.62,69.22,487.5
0.15,0.62,69.22,487.6
0.15,0.62,69.22,487.7
0.15,0.62,69.23,487.8
0.15,0.62,69.23,487.9
0.15,0.62,69.23,488.0
0.15,0.62,69.23,488.1
0.15,0.62,69.23,488.2
0.15,0.62,69.23,488.3
0.15,0.62,69.23,488.4
0.15,0.62,69.23,488.5
0.15,0.62,69.23,488.6
0.15,0.62,69.23,488.7
0.15,0.62,69.23,488.8
0.15,0.61,69.23,488.9
0.15,0.61,69.23,489.0
0.15,0.61,69.23,489.1
0.15,0.61,69.23,489.2
0.15,0.61,69.24,489.3
0.15,0.61,69.24,489.4
0.15,0.61,69.24,489.5
0.15,0.61,69.24,489.6
0.15,0.61,69.24,489.7
0.15,0.61,69.24,489.8
0.15,0.61,69.24,489.9
0.15,0.61,69.24,490.0
0.15,0.61,69.24,490.1
0.15,0.61,69.24,490.2
0.15,0.60,69.24,490.3
0.15,0.60,69.24,490.4
0.15,0.60,69.24,490.5
0.15,0.60,69.24,490.6
0.15,0.60,69.25,490.7
0.15,0.60,69.25,490.8
0.15,0.60,69.25,490.9
0.15,0.60,69.25,491.0
0.15,0.60,69.25,491.1
0.15,0.60,69.25,491.2
0.15,0.60,69.25,491.3
0.15,0.60,69.25,491.4
0.15,0.60,69.25,491.5
0.15,0.60,69.25,491.6
0.15,0.60,69.25,491.7
0.15,0.59,69.25,491.8
0.15,0.59,69.25,491.9
0.15,0.59,69.25,492.0
0.15,0.59,69.25,492.1
0.15,0.59,69.26,492.2
0.15,0.59,69.26,492.3
0.15,0.59,69.26,492.4
0.15,0.59,69.26,492.5
0.15,0.59,69.26,492.6
0.15,0.59,69.26,492.7
0.15,0.59,69.26,492.8
0.15,0.59,69.26,492.9
0.15,0.59,69.26,493.0
0.15,0.59,69.26,493.1
0.15,0.59,69.26,493.2
0.15,0.58,69.26,493.3
0.15,0.58,69.26,493.4
0.15,0.58,69.26,493.5
0.15,0.58,69.26,493.6
0.15,0.58,69.27,493.7
0.15,0.58,69.27,493.8
0.15,0.58,69.27,493.9
0.15,0.58,69.27,494.0
0.15,0.58,69.27,494.1
0.15,0.58,69.27,494.2
0.15,0.58,69.27,494.3
0.15,0.58,69.27,494.4
0.15,0.58,69.27,494.5
0.15,0.58,69.27,494.6
0.15,0.58,69.27,494.7
0.15,0.58,69.27,494.8
0.15,0.57,69.27,494.9
0.15,0.57,69.27,495.0
0.15,0.57,69.27,495.1
0.15,0.57,69.28,495.2
0.15,0.57,69.28,495.3
0.15,0.57,69.28,495.4
0.15,0.57,69.28,495.5
0.15,0.57,69.28,495.6
0.15,0.57,69.28,495.7
0.15,0.57,69.28,495.8
0.15,0.57,69.28,495.9
0.15,0.57,69.28,496.0
0.15,0.57,69.28,496.1
0.15,0.57,69.28,496.2
0.15,0.57,69.28,496.3
0.15,0.56,69.28,496.4
0.15,0.56,69.28,496.5
0.15,0.56,69.28,496.6
0.15,0.56,69.29,496.7
0.15,0.56,69.29,496.8
0.15,0.56,69.29,496.9
0.15,0.56,69.29,497.0
0.15,0.56,69.29,497.1
0.15,0.56,69.29,497.2
0.15,0.56,69.29,497.3
0.15,0.56,69.29,497.4
0.15,0.56,69.29,497.5
0.15,0.56,69.29,497.6
0.15,0.56,69.29,497.7
0.15,0.56,69.29,497.8
0.15,0.56,69.29,497.9
0.15,0.55,69.29,498.0
0.15,0.55,69.29,498.1
0.15,0.55,69.29,498.2
0.15,0.55,69.30,498.3
0.15,0.55,69.30,498.4
0.15,0.55,69.30,498.5
0.15,0.55,69.30,498.6
0.15,0.55,69.30,498.7
0.15,0.55,69.30,498.8
0.15,0.55,69.30,498.9
0.15,0.55,69.30,499.0
0.15,0.55,69.30,499.1
0.15,0.55,69.30,499.2
0.15,0.55,69.30,499.3
0.15,0.55,69.30,499.4
0.15,0.55,69.30,499.5
0.15,0.55,69.30,499.6
0.15,0.54,69.30,499.7
0.15,0.54,69.30,499.8
0.15,0.54,69.31,499.9
0.15,0.54,69.31,500.0
0.15,0.54,69.31,500.1
0.15,0.54,69.31,500.2
0.15,0.54,69.31,500.3
0.15,0.54,69.31,500.4
0.15,0.54,69.31,500.5
0.15,0.54,69.31,500.6
0.15,0.54,69.31,500.7
0.15,0.54,69.31,500.8
0.15,0.54,69.31,500.9
0.15,0.54,69.31,501.0
0.15,0.54,69.31,501.1
0.15,0.54,69.31,501.2
0.15,0.53,69.31,501.3
0.15,0.53,69.31,501.4
0.15,0.53,69.32,501.5
0.15,0.53,69.32,501.6
0.15,0.53,69.32,501.7
0.15,0.53,69.32,501.8
0.15,0.53,69.32,501.9
0.15,0.53,69.32,502.0
0.15,0.53,69.32,502.1
0.15,0.53,69.32,502.2
0.15,0.53,69.32,502.3
0.15,0.53,69.32,502.4
0.15,0.53,69.32,502.5
0.15,0.53,69.32,502.6
0.15,0.53,69.32,502.7
0.15,0.53,69.32,502.8
0.15,0.53,69.32,502.9
0.15,0.52,69.32,503.0
0.15,0.52,69.32,503.1
0.15,0.52,69.33,503.2
0.15,0.52,69.33,503.3
0.15,0.52,69.33,503.4
0.15,0.52,69.33,503.5
0.15,0.52,69.33,503.6
0.15,0.52,69.33,503.7
0.15,0.52,69.33,503.8
0.15,0.52,69.33,503.9
0.15,0.52,69.33,504.0
